data,cidade,temperatura_media,temperatura_min,temperatura_max,choveu,precipitacao_mm,humidade_media,vento_kmh,fonte_api
2021-01-01,Porto,10.5,8.4,13.9,1,1.5,71,13.9,synthetic_weather_api_v1
2021-01-02,Porto,8.5,5.2,12.3,0,0.0,69,9.7,synthetic_weather_api_v1
2021-01-03,Porto,10.7,8.5,13.3,0,0.0,60,20.1,synthetic_weather_api_v1
2021-01-04,Porto,9.7,6.5,13.1,1,6.8,91,12.0,synthetic_weather_api_v1
2021-01-05,Porto,9.1,6.7,12.7,1,2.4,79,17.7,synthetic_weather_api_v1
2021-01-06,Porto,11.0,8.3,13.9,1,9.2,79,14.3,synthetic_weather_api_v1
2021-01-07,Porto,10.5,6.0,13.9,1,2.9,85,9.7,synthetic_weather_api_v1
2021-01-08,Porto,11.7,9.3,14.1,0,0.0,71,18.0,synthetic_weather_api_v1
2021-01-09,Porto,9.4,6.9,12.2,0,0.0,56,9.4,synthetic_weather_api_v1
2021-01-10,Porto,10.9,8.0,13.9,0,0.0,71,12.5,synthetic_weather_api_v1
2021-01-11,Porto,10.8,7.8,13.4,0,0.0,69,11.7,synthetic_weather_api_v1
2021-01-12,Porto,10.0,6.8,14.1,1,3.5,60,6.8,synthetic_weather_api_v1
2021-01-13,Porto,7.6,5.2,9.5,1,11.9,79,9.3,synthetic_weather_api_v1
2021-01-14,Porto,9.6,6.7,13.0,1,6.9,69,6.8,synthetic_weather_api_v1
2021-01-15,Porto,10.1,7.3,13.1,0,0.0,64,8.9,synthetic_weather_api_v1
2021-01-16,Porto,10.3,7.8,14.4,1,13.1,68,9.4,synthetic_weather_api_v1
2021-01-17,Porto,9.3,7.3,11.5,0,0.0,57,15.6,synthetic_weather_api_v1
2021-01-18,Porto,11.5,8.8,16.3,0,0.0,48,15.3,synthetic_weather_api_v1
2021-01-19,Porto,8.5,5.2,11.4,0,0.0,67,13.2,synthetic_weather_api_v1
2021-01-20,Porto,8.1,5.6,10.3,0,0.0,67,18.9,synthetic_weather_api_v1
2021-01-21,Porto,9.1,6.0,11.1,1,2.4,66,18.7,synthetic_weather_api_v1
2021-01-22,Porto,10.7,7.5,13.3,1,3.4,63,14.9,synthetic_weather_api_v1
2021-01-23,Porto,12.8,9.4,16.4,1,5.9,82,16.1,synthetic_weather_api_v1
2021-01-24,Porto,12.8,8.7,15.0,1,15.1,70,21.3,synthetic_weather_api_v1
2021-01-25,Porto,8.0,5.7,10.4,1,4.4,85,14.5,synthetic_weather_api_v1
2021-01-26,Porto,11.2,9.1,12.5,0,0.0,58,12.3,synthetic_weather_api_v1
2021-01-27,Porto,11.6,9.2,13.7,1,10.0,84,13.2,synthetic_weather_api_v1
2021-01-28,Porto,8.7,5.8,12.0,1,5.4,94,23.4,synthetic_weather_api_v1
2021-01-29,Porto,8.5,4.5,11.1,1,11.3,68,3.3,synthetic_weather_api_v1
2021-01-30,Porto,9.7,6.8,11.6,0,0.0,51,6.7,synthetic_weather_api_v1
2021-01-31,Porto,13.8,10.7,17.8,1,1.7,76,22.6,synthetic_weather_api_v1
2021-02-01,Porto,9.0,6.4,12.5,1,4.5,72,12.7,synthetic_weather_api_v1
2021-02-02,Porto,11.2,8.6,14.9,1,6.5,74,10.4,synthetic_weather_api_v1
2021-02-03,Porto,11.4,9.4,15.8,1,2.6,76,8.4,synthetic_weather_api_v1
2021-02-04,Porto,12.9,9.8,15.0,0,0.0,69,8.4,synthetic_weather_api_v1
2021-02-05,Porto,10.0,6.6,13.1,1,4.1,85,2.0,synthetic_weather_api_v1
2021-02-06,Porto,10.4,7.2,13.4,1,6.4,61,18.3,synthetic_weather_api_v1
2021-02-07,Porto,10.2,6.4,13.2,0,0.0,70,22.7,synthetic_weather_api_v1
2021-02-08,Porto,12.9,10.5,16.8,0,0.0,63,14.3,synthetic_weather_api_v1
2021-02-09,Porto,9.5,5.0,14.0,0,0.0,66,19.9,synthetic_weather_api_v1
2021-02-10,Porto,12.2,8.2,15.2,1,1.7,86,17.2,synthetic_weather_api_v1
2021-02-11,Porto,9.5,6.9,11.2,1,6.3,78,2.5,synthetic_weather_api_v1
2021-02-12,Porto,11.3,8.3,15.9,0,0.0,61,17.0,synthetic_weather_api_v1
2021-02-13,Porto,8.0,4.0,12.8,0,0.0,72,19.3,synthetic_weather_api_v1
2021-02-14,Porto,11.2,8.0,13.9,1,4.4,81,8.7,synthetic_weather_api_v1
2021-02-15,Porto,10.6,6.0,14.1,0,0.0,72,14.1,synthetic_weather_api_v1
2021-02-16,Porto,13.2,9.9,17.4,0,0.0,64,4.0,synthetic_weather_api_v1
2021-02-17,Porto,13.7,10.8,17.7,0,0.0,55,6.0,synthetic_weather_api_v1
2021-02-18,Porto,9.4,6.2,13.1,1,3.4,79,14.7,synthetic_weather_api_v1
2021-02-19,Porto,12.2,9.1,15.0,1,5.8,70,16.6,synthetic_weather_api_v1
2021-02-20,Porto,10.3,7.6,11.9,0,0.0,54,2.3,synthetic_weather_api_v1
2021-02-21,Porto,9.6,5.7,13.4,0,0.0,76,13.7,synthetic_weather_api_v1
2021-02-22,Porto,13.2,9.4,16.1,0,0.0,58,12.2,synthetic_weather_api_v1
2021-02-23,Porto,12.2,7.1,16.8,0,0.0,69,13.3,synthetic_weather_api_v1
2021-02-24,Porto,7.5,3.3,10.9,0,0.0,60,16.1,synthetic_weather_api_v1
2021-02-25,Porto,10.5,7.2,15.0,1,1.2,71,19.6,synthetic_weather_api_v1
2021-02-26,Porto,11.5,8.5,16.2,1,5.3,82,9.8,synthetic_weather_api_v1
2021-02-27,Porto,11.4,8.4,14.0,1,0.5,70,12.5,synthetic_weather_api_v1
2021-02-28,Porto,14.3,9.8,18.5,0,0.0,63,14.9,synthetic_weather_api_v1
2021-03-01,Porto,13.5,11.1,15.6,0,0.0,86,15.1,synthetic_weather_api_v1
2021-03-02,Porto,15.0,12.0,18.2,0,0.0,59,16.2,synthetic_weather_api_v1
2021-03-03,Porto,10.9,7.9,14.8,1,7.0,81,4.8,synthetic_weather_api_v1
2021-03-04,Porto,11.8,8.8,14.9,1,2.7,50,11.3,synthetic_weather_api_v1
2021-03-05,Porto,16.8,12.9,20.6,0,0.0,63,14.5,synthetic_weather_api_v1
2021-03-06,Porto,12.2,8.7,16.5,1,9.3,66,9.6,synthetic_weather_api_v1
2021-03-07,Porto,14.8,12.5,17.6,1,5.5,86,12.2,synthetic_weather_api_v1
2021-03-08,Porto,10.7,8.0,12.4,1,3.2,54,10.1,synthetic_weather_api_v1
2021-03-09,Porto,9.4,6.8,12.0,0,0.0,64,15.0,synthetic_weather_api_v1
2021-03-10,Porto,10.6,7.3,14.6,0,0.0,68,24.2,synthetic_weather_api_v1
2021-03-11,Porto,12.2,8.7,14.5,1,2.3,76,14.3,synthetic_weather_api_v1
2021-03-12,Porto,11.0,7.7,14.7,0,0.0,70,14.9,synthetic_weather_api_v1
2021-03-13,Porto,9.8,6.7,12.3,0,0.0,54,20.7,synthetic_weather_api_v1
2021-03-14,Porto,14.6,11.8,15.8,0,0.0,63,8.6,synthetic_weather_api_v1
2021-03-15,Porto,13.7,8.5,17.5,0,0.0,78,7.9,synthetic_weather_api_v1
2021-03-16,Porto,12.8,7.5,16.2,0,0.0,61,18.1,synthetic_weather_api_v1
2021-03-17,Porto,12.8,11.0,14.6,1,2.9,78,17.8,synthetic_weather_api_v1
2021-03-18,Porto,13.2,11.3,14.6,0,0.0,54,16.2,synthetic_weather_api_v1
2021-03-19,Porto,10.9,8.9,13.6,1,13.0,74,15.3,synthetic_weather_api_v1
2021-03-20,Porto,11.3,7.4,14.5,0,0.0,57,2.0,synthetic_weather_api_v1
2021-03-21,Porto,15.3,10.3,18.5,1,4.0,65,16.9,synthetic_weather_api_v1
2021-03-22,Porto,13.3,11.4,17.3,1,3.8,78,5.3,synthetic_weather_api_v1
2021-03-23,Porto,12.7,10.8,15.6,1,1.8,76,9.7,synthetic_weather_api_v1
2021-03-24,Porto,12.7,8.5,15.3,0,0.0,58,12.3,synthetic_weather_api_v1
2021-03-25,Porto,12.3,9.1,14.9,0,0.0,45,17.9,synthetic_weather_api_v1
2021-03-26,Porto,12.9,9.3,16.4,1,21.1,77,13.2,synthetic_weather_api_v1
2021-03-27,Porto,13.9,11.0,17.1,0,0.0,61,11.8,synthetic_weather_api_v1
